step,fast_slow_gap,fast_wins,bernoulli_llr,familiarity_weight,weighted_bernoulli_llr,cusum_W,detector_active,regime_change,epistemic_uncertainty,epistemic_ref,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,initial_warmup_remaining,post_change_warmup_remaining,predictor_nll
0,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00544875,0.00544875,-187.57991028,-187.57991028,0.99977803,0.99977803,0.00544875,0.00544875,9999,0,191.55627950
100,0.00000000,0,0.00000000,0.02649300,0.00000000,0.00000000,0,0,0.21418425,0.00567438,-97.79672241,-97.79672241,1.51743102,1.51743102,0.21418425,0.21418425,9899,0,134.10005379
200,0.00000000,0,0.00000000,0.02437365,0.00000000,0.00000000,0,0,0.24216631,0.00590248,-110.37040710,-110.37040710,1.68256903,1.68256903,0.24216631,0.24216631,9799,0,137.96575546
300,0.00000000,0,0.00000000,0.06206373,0.00000000,0.00000000,0,0,0.09873851,0.00612808,-101.61997986,-101.61997986,1.35240972,1.35240972,0.09873851,0.09873851,9699,0,118.57719803
400,0.00000000,0,0.00000000,0.03372676,0.00000000,0.00000000,0,0,0.18784329,0.00633534,-44.45179367,-44.45179367,1.73789251,1.73789251,0.18784329,0.18784329,9599,0,47.78162003
500,0.00000000,0,0.00000000,0.04505233,0.00000000,0.00000000,0,0,0.14579757,0.00656852,-101.06086731,-101.06086731,1.67544985,1.67544985,0.14579757,0.14579757,9499,0,126.28696442
600,0.00000000,0,0.00000000,0.02618940,0.00000000,0.00000000,0,0,0.25955391,0.00679756,-52.89635468,-52.89635468,2.08151245,2.08151245,0.25955391,0.25955391,9399,0,66.18104362
700,0.00000000,0,0.00000000,0.02057462,0.00000000,0.00000000,0,0,0.34259045,0.00704867,-36.44864655,-36.44864655,4.49488926,4.49488926,0.34259045,0.34259045,9299,0,43.38277435
800,0.00000000,0,0.00000000,0.04489394,0.00000000,0.00000000,0,0,0.16261455,0.00730041,-30.60866165,-30.60866165,2.46505523,2.46505523,0.16261455,0.16261455,9199,0,31.59680462
900,0.00000000,0,0.00000000,0.07688234,0.00000000,0.00000000,0,0,0.09830725,0.00755809,-46.12052917,-46.12052917,1.88102770,1.88102770,0.09830725,0.09830725,9099,0,45.74545670
1000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00283170,0.00782434,-59.53630447,-59.53630447,1.05313385,1.05313385,0.00283170,0.00283170,8999,0,60.44878896
1100,0.00000000,0,0.00000000,0.48432916,0.00000000,0.00000000,0,0,0.01666459,0.00807115,-83.36448669,-83.36448669,1.16554880,1.16554880,0.01666459,0.01666459,8899,0,87.60491180
1200,0.00000000,0,0.00000000,0.03964020,0.00000000,0.00000000,0,0,0.21014799,0.00833031,-29.60248947,-29.60248947,5.07890987,5.07890987,0.21014799,0.21014799,8799,0,30.61154429
1300,0.00000000,0,0.00000000,0.03516645,0.00000000,0.00000000,0,0,0.24424431,0.00858921,-35.85886002,-35.85886002,4.15760899,4.15760899,0.24424431,0.24424431,8699,0,45.00259209
1400,0.00000000,0,0.00000000,0.03273861,0.00000000,0.00000000,0,0,0.27053070,0.00885680,-41.95064163,-41.95064163,4.40771723,4.40771723,0.27053070,0.27053070,8599,0,47.63385010
1500,0.00000000,0,0.00000000,0.03905564,0.00000000,0.00000000,0,0,0.23379214,0.00913090,-25.18848610,-25.18848610,6.90061378,6.90061378,0.23379214,0.23379214,8499,0,26.09555054
1600,0.00000000,0,0.00000000,0.01231813,0.00000000,0.00000000,0,0,0.76594579,0.00943502,-31.56463051,-31.56463051,37.62470627,37.62470627,0.76594579,0.76594579,8399,0,38.04967880
1700,0.00000000,0,0.00000000,0.02564666,0.00000000,0.00000000,0,0,0.38082421,0.00976687,-37.08233643,-37.08233643,20.03479767,20.03479767,0.38082421,0.38082421,8299,0,48.23302555
1800,0.00000000,0,0.00000000,0.01857609,0.00000000,0.00000000,0,0,0.54302895,0.01008735,-31.55036354,-31.55036354,35.49752808,35.49752808,0.54302895,0.54302895,8199,0,34.09250387
1900,0.00000000,0,0.00000000,0.05772080,0.00000000,0.00000000,0,0,0.18069856,0.01043007,-31.79152870,-31.79152870,10.75414848,10.75414848,0.18069856,0.18069856,8099,0,33.36334356
2000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00623552,0.01077716,-118.38387299,-118.38387299,1.12748063,1.12748063,0.00623552,0.00623552,7999,0,119.01652908
2100,0.00000000,0,0.00000000,0.03338958,0.00000000,0.00000000,0,0,0.33060184,0.01103866,-29.17496490,-29.17496490,24.72780609,24.72780609,0.33060184,0.33060184,7899,0,29.98180389
2200,0.00000000,0,0.00000000,0.07249571,0.00000000,0.00000000,0,0,0.15589191,0.01130149,-28.42929840,-28.42929840,6.21797991,6.21797991,0.15589191,0.15589191,7799,0,29.60202980
2300,0.00000000,0,0.00000000,0.04905569,0.00000000,0.00000000,0,0,0.23568647,0.01156176,-30.24283218,-30.24283218,17.92373466,17.92373466,0.23568647,0.23568647,7699,0,31.20637178
2400,0.00000000,0,0.00000000,0.30813435,0.00000000,0.00000000,0,0,0.03844162,0.01184519,-30.53691864,-30.53691864,2.37203646,2.37203646,0.03844162,0.03844162,7599,0,30.82671483
2500,0.00000000,0,0.00000000,0.08628309,0.00000000,0.00000000,0,0,0.14049906,0.01212269,-24.42716217,-24.42716217,9.98462772,9.98462772,0.14049906,0.14049906,7499,0,25.92792511
2600,0.00000000,0,0.00000000,0.07403381,0.00000000,0.00000000,0,0,0.16797502,0.01243583,-24.42580795,-24.42580795,11.64197063,11.64197063,0.16797502,0.16797502,7399,0,25.11849022
2700,0.00000000,0,0.00000000,0.19394603,0.00000000,0.00000000,0,0,0.06579754,0.01276117,-22.73630905,-22.73630905,3.60041904,3.60041904,0.06579754,0.06579754,7299,0,22.94740041
2800,0.00000000,0,0.00000000,0.09557694,0.00000000,0.00000000,0,0,0.13701122,0.01309511,-23.80775833,-23.80775833,11.61735916,11.61735916,0.13701122,0.13701122,7199,0,23.28207207
2900,0.00000000,0,0.00000000,0.04184799,0.00000000,0.00000000,0,0,0.32139498,0.01344973,-31.30348396,-31.30348396,42.78369904,42.78369904,0.32139498,0.32139498,7099,0,35.55685552
3000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00559975,0.01384036,-80.88882446,-80.88882446,1.14512742,1.14512742,0.00559975,0.00559975,6999,0,81.81469879
3100,0.00000000,0,0.00000000,0.07297141,0.00000000,0.00000000,0,0,0.19417800,0.01416944,-28.74425507,-28.74425507,22.33265114,22.33265114,0.19417800,0.19417800,6899,0,29.49646886
3200,0.00000000,0,0.00000000,0.06307240,0.00000000,0.00000000,0,0,0.23051850,0.01453936,-27.12197495,-27.12197495,26.75577354,26.75577354,0.23051850,0.23051850,6799,0,27.98536777
3300,0.00000000,0,0.00000000,0.12105543,0.00000000,0.00000000,0,0,0.12323860,0.01491870,-32.27674103,-32.27674103,8.76273346,8.76273346,0.12323860,0.12323860,6699,0,33.85865879
3400,0.00000000,0,0.00000000,0.05591784,0.00000000,0.00000000,0,0,0.27386162,0.01531375,-31.05768394,-31.05768394,27.28626823,27.28626823,0.27386162,0.27386162,6599,0,32.11307144
3500,0.00000000,0,0.00000000,0.09874600,0.00000000,0.00000000,0,0,0.15928517,0.01572877,-23.59926605,-23.59926605,8.84852409,8.84852409,0.15928517,0.15928517,6499,0,23.12353849
3600,0.00000000,0,0.00000000,0.08664206,0.00000000,0.00000000,0,0,0.18605185,0.01611991,-26.53918076,-26.53918076,21.27356720,21.27356720,0.18605185,0.18605185,6399,0,27.20119349
3700,0.00000000,0,0.00000000,0.09762348,0.00000000,0.00000000,0,0,0.16952324,0.01654945,-25.45646286,-25.45646286,12.98891163,12.98891163,0.16952324,0.16952324,6299,0,25.22875913
3800,0.00000000,0,0.00000000,0.22545527,0.00000000,0.00000000,0,0,0.07523615,0.01696239,-29.51712799,-29.51712799,8.96773243,8.96773243,0.07523615,0.07523615,6199,0,28.76939329
3900,0.00000000,0,0.00000000,0.06610954,0.00000000,0.00000000,0,0,0.26305380,0.01739037,-26.96086121,-26.96086121,46.35770416,46.35770416,0.26305380,0.26305380,6099,0,29.51748721
4000,0.00000000,0,0.00000000,1.00000000,0.00000000,0.00000000,0,0,0.00191491,0.01781411,-41.67558289,-41.67558289,1.08084214,1.08084214,0.00191491,0.00191491,5999,0,41.97973537
4100,0.00000000,0,0.00000000,0.21637587,0.00000000,0.00000000,0,0,0.08365843,0.01810167,-28.39521980,-28.39521980,4.30470419,4.30470419,0.08365843,0.08365843,5899,0,28.67198563
4200,0.00000000,0,0.00000000,0.23507939,0.00000000,0.00000000,0,0,0.07840198,0.01843069,-28.68480873,-28.68480873,5.48452091,5.48452091,0.07840198,0.07840198,5799,0,29.07747726
4300,0.00000000,0,0.00000000,0.20942895,0.00000000,0.00000000,0,0,0.08957635,0.01875988,-24.77627182,-24.77627182,13.79826069,13.79826069,0.08957635,0.08957635,5699,0,24.62957319
4400,0.00000000,0,0.00000000,0.09414194,0.00000000,0.00000000,0,0,0.20357510,0.01916496,-27.39820862,-27.39820862,44.20902634,44.20902634,0.20357510,0.20357510,5599,0,26.65818469
4500,0.00000000,0,0.00000000,0.11927540,0.00000000,0.00000000,0,0,0.16414285,0.01957820,-26.67671204,-26.67671204,40.78454590,40.78454590,0.16414285,0.16414285,5499,0,27.64977884
4600,0.00000000,0,0.00000000,0.09253456,0.00000000,0.00000000,0,0,0.21628810,0.02001413,-24.96194077,-24.96194077,37.52554703,37.52554703,0.21628810,0.21628810,5399,0,25.70720482
4700,0.00000000,0,0.00000000,0.10579802,0.00000000,0.00000000,0,0,0.19345339,0.02046699,-29.82202911,-29.82202911,44.96385193,44.96385193,0.19345339,0.19345339,5299,0,29.22538280
