step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,predictor_nll
0,12.64293575,12.64293575,0,0.00000000,0.00000000,nan,0.00000000,0,9999,0,1.01454926,0.00410669,132.93452962
100,2.04851508,2.04851508,0,0.00000000,0.00000000,nan,0.00000000,0,9899,0,2.29496050,0.63746518,77.09476089
200,2.45552731,2.45552731,0,0.00000000,0.00000000,nan,0.00000000,0,9799,0,1.43959403,0.17731866,46.96647771
300,5.63160944,5.63160944,0,0.00000000,0.00000000,nan,0.00000000,0,9699,0,1.38951731,0.13729630,76.02422841
400,6.93674707,6.93674707,0,0.00000000,0.00000000,nan,0.00000000,0,9599,0,1.13313568,0.02173054,88.83248520
500,0.82528073,0.82528073,0,0.00000000,0.00000000,nan,0.00000000,0,9499,0,1.80419707,0.13942367,32.49124336
600,1.08703399,1.08703399,0,0.00000000,0.00000000,nan,0.00000000,0,9399,0,3.15095043,0.29459900,37.95622406
700,5.21146584,5.21146584,0,0.00000000,0.00000000,nan,0.00000000,0,9299,0,1.57917452,0.07480311,75.42000961
800,3.60877895,3.60877895,0,0.00000000,0.00000000,nan,0.00000000,0,9199,0,1.70147181,0.10839967,57.34288788
900,2.83115983,2.83115983,0,0.00000000,0.00000000,nan,0.00000000,0,9099,0,2.32916141,0.15911187,54.00962639
1000,6.16087770,6.16087770,0,0.00000000,0.00000000,nan,0.00000000,0,8999,0,1.04545832,0.00274104,72.17630768
1100,1.88192916,1.88192916,0,0.00000000,0.00000000,nan,0.00000000,0,8899,0,4.84728670,0.27215704,44.69842275
1200,2.15017438,2.15017438,0,0.00000000,0.00000000,nan,0.00000000,0,8799,0,5.63604307,0.22624210,44.55079269
1300,0.60697109,0.60697109,0,0.00000000,0.00000000,nan,0.00000000,0,8699,0,16.20834732,0.43488193,58.56342506
1400,1.43494368,1.43494368,0,0.00000000,0.00000000,nan,0.00000000,0,8599,0,3.08143520,0.14008848,33.46000748
1500,0.37651879,0.37651879,0,0.00000000,0.00000000,nan,0.00000000,0,8499,0,9.50408554,0.34020519,45.60851161
1600,3.57068300,3.57068300,0,0.00000000,0.00000000,nan,0.00000000,0,8399,0,1.97168899,0.06441033,48.16428884
1700,2.26801586,2.26801586,0,0.00000000,0.00000000,nan,0.00000000,0,8299,0,2.78510404,0.09194727,40.91580709
1800,0.49282157,0.49282157,0,0.00000000,0.00000000,nan,0.00000000,0,8199,0,16.82664871,0.28015807,28.51805353
1900,1.55462062,1.55462062,0,0.00000000,0.00000000,nan,0.00000000,0,8099,0,3.23457623,0.10569957,33.11055311
2000,8.38499451,8.38499451,0,0.00000000,0.00000000,nan,0.00000000,0,7999,0,1.13101006,0.00620343,101.20616531
2100,0.68627518,0.68627518,0,0.00000000,0.00000000,nan,0.00000000,0,7899,0,10.09389496,0.18349648,29.63886007
2200,0.64804196,0.64804196,0,0.00000000,0.00000000,nan,0.00000000,0,7799,0,24.42368507,0.32954025,31.82662430
2300,0.34658781,0.34658781,0,0.00000000,0.00000000,nan,0.00000000,0,7699,0,41.02943420,0.45371592,36.15927696
2400,0.47334459,0.47334459,0,0.00000000,0.00000000,nan,0.00000000,0,7599,0,23.68428040,0.23375018,29.54519320
2500,0.41688812,0.41688812,0,0.00000000,0.00000000,nan,0.00000000,0,7499,0,21.05613327,0.28651237,27.11482620
2600,0.39389473,0.39389473,0,0.00000000,0.00000000,nan,0.00000000,0,7399,0,6.11718941,0.10637283,24.48730850
2700,0.79315019,0.79315019,0,0.00000000,0.00000000,nan,0.00000000,0,7299,0,14.80525875,0.13085008,31.86797333
2800,3.22881222,3.22881222,0,0.00000000,0.00000000,nan,0.00000000,0,7199,0,3.74778318,0.07046454,54.69939995
2900,0.25855008,0.25855008,0,0.00000000,0.00000000,nan,0.00000000,0,7099,0,31.15677834,0.20978320,26.50308847
3000,5.66858101,5.66858101,0,0.00000000,0.00000000,nan,0.00000000,0,6999,0,1.10088646,0.00335289,66.38497162
3100,0.24519117,0.24519117,0,0.00000000,0.00000000,nan,0.00000000,0,6899,0,41.07045364,0.31233612,26.97939936
3200,0.49144280,0.49144280,0,0.00000000,0.00000000,nan,0.00000000,0,6799,0,30.50785637,0.27751398,31.96182251
3300,0.38681501,0.38681501,0,0.00000000,0.00000000,nan,0.00000000,0,6699,0,26.14721870,0.22755554,25.80541166
3400,0.52642411,0.52642411,0,0.00000000,0.00000000,nan,0.00000000,0,6599,0,44.21578979,0.30591434,30.67557971
3500,0.70685399,0.70685399,0,0.00000000,0.00000000,nan,0.00000000,0,6499,0,21.43837738,0.18255986,30.68176842
3600,1.05373061,1.05373061,0,0.00000000,0.00000000,nan,0.00000000,0,6399,0,12.68470478,0.13623363,32.98574829
3700,0.40776700,0.40776700,0,0.00000000,0.00000000,nan,0.00000000,0,6299,0,38.81271744,0.33434713,28.07550812
3800,0.57682091,0.57682091,0,0.00000000,0.00000000,nan,0.00000000,0,6199,0,44.55613327,0.35712564,29.36542854
3900,0.65033108,0.65033108,0,0.00000000,0.00000000,nan,0.00000000,0,6099,0,7.36018372,0.05497352,27.26907253
4000,9.66196632,9.66196632,0,0.00000000,0.00000000,nan,0.00000000,0,5999,0,1.23415482,0.00833132,nan
4100,0.53160816,0.53160816,0,0.00000000,0.00000000,nan,0.00000000,0,5899,0,34.98716736,0.23174626,30.77416515
4200,0.15526658,0.15526658,0,0.00000000,0.00000000,nan,0.00000000,0,5799,0,37.82686234,0.23650591,24.89114714
4300,0.25914177,0.25914177,0,0.00000000,0.00000000,nan,0.00000000,0,5699,0,42.79615021,0.28542978,23.97737598
4400,0.47998014,0.47998014,0,0.00000000,0.00000000,nan,0.00000000,0,5599,0,9.96003342,0.10515806,25.06361771
4500,0.49919245,0.49919245,0,0.00000000,0.00000000,nan,0.00000000,0,5499,0,44.75987244,0.31420729,27.49153709
4600,0.29380992,0.29380992,0,0.00000000,0.00000000,nan,0.00000000,0,5399,0,8.33184624,0.07843646,22.12509982
4700,0.43184403,0.43184403,0,0.00000000,0.00000000,nan,0.00000000,0,5299,0,29.35985565,0.13892674,25.30998929
4800,0.34768900,0.34768900,0,0.00000000,0.00000000,nan,0.00000000,0,5199,0,13.61094761,0.11197237,23.65988731
4900,0.25137478,0.25137478,0,0.00000000,0.00000000,nan,0.00000000,0,5099,0,43.62858582,0.22867700,24.37077379
5000,4.24621344,4.24621344,0,0.00000000,0.00000000,nan,0.00000000,0,4999,0,1.17360163,0.00411852,55.76094208
5100,0.81649894,0.81649894,0,0.00000000,0.00000000,nan,0.00000000,0,4899,0,3.42672992,0.03650347,25.81561565
5200,1.13934970,1.13934970,0,0.00000000,0.00000000,nan,0.00000000,0,4799,0,3.52559733,0.02039788,30.38476054
5300,0.47836447,0.47836447,0,0.00000000,0.00000000,nan,0.00000000,0,4699,0,46.59033203,0.32756579,32.84021473
5400,0.24926990,0.24926990,0,0.00000000,0.00000000,nan,0.00000000,0,4599,0,47.58366013,0.20852651,25.86062126
5500,0.40489134,0.40489134,0,0.00000000,0.00000000,nan,0.00000000,0,4499,0,10.87147331,0.05550800,24.32379850
5600,0.63246667,0.63246667,0,0.00000000,0.00000000,nan,0.00000000,0,4399,0,13.78232193,0.07492570,26.60997518
5700,0.56322122,0.56322122,0,0.00000000,0.00000000,nan,0.00000000,0,4299,0,30.23307037,0.16293402,27.25544866
5800,0.54613155,0.54613155,0,0.00000000,0.00000000,nan,0.00000000,0,4199,0,44.69545364,0.29824272,28.87981462
5900,0.10332292,0.10332292,0,0.00000000,0.00000000,nan,0.00000000,0,4099,0,42.35900497,0.27908206,22.95035172
6000,5.20222425,5.20222425,0,0.00000000,0.00000000,nan,0.00000000,0,3999,0,1.16232038,0.00360639,65.87980525
6100,0.39526230,0.39526230,0,0.00000000,0.00000000,nan,0.00000000,0,3899,0,26.02039719,0.10902242,25.11152124
6200,0.47016329,0.47016329,0,0.00000000,0.00000000,nan,0.00000000,0,3799,0,34.09708786,0.10558823,26.54226685
6300,0.90640110,0.90640110,0,0.00000000,0.00000000,nan,0.00000000,0,3699,0,15.34676933,0.11355284,30.88471858
6400,0.46034601,0.46034601,0,0.00000000,0.00000000,nan,0.00000000,0,3599,0,15.19533634,0.05985793,25.54860077
6500,0.48731893,0.48731893,0,0.00000000,0.00000000,nan,0.00000000,0,3499,0,30.13426399,0.16205306,27.00503254
6600,0.59988362,0.59988362,0,0.00000000,0.00000000,nan,0.00000000,0,3399,0,7.71312809,0.04386318,26.15652037
6700,1.24049985,1.24049985,0,0.00000000,0.00000000,nan,0.00000000,0,3299,0,3.53615022,0.02999345,29.55485821
6800,0.60806763,0.60806763,0,0.00000000,0.00000000,nan,0.00000000,0,3199,0,34.83790588,0.14231610,27.95433760
6900,0.48762190,0.48762190,0,0.00000000,0.00000000,nan,0.00000000,0,3099,0,40.99874878,0.12731761,27.21912511
7000,3.48257613,3.48257613,0,0.00000000,0.00000000,nan,0.00000000,0,2999,0,1.19138110,0.00387685,48.87391472
7100,0.38789198,0.38789198,0,0.00000000,0.00000000,nan,0.00000000,0,2899,0,15.25331116,0.05111864,23.96792078
7200,0.25860411,0.25860411,0,0.00000000,0.00000000,nan,0.00000000,0,2799,0,32.73815155,0.12074573,24.50329145
7300,0.63080049,0.63080049,0,0.00000000,0.00000000,nan,0.00000000,0,2699,0,46.82127380,0.15682282,28.47855091
7400,0.63327616,0.63327616,0,0.00000000,0.00000000,nan,0.00000000,0,2599,0,27.62562943,0.08534127,27.21152782
7500,0.36481327,0.36481327,0,0.00000000,0.00000000,nan,0.00000000,0,2499,0,45.79537582,0.18217653,25.05850935
7600,0.29702720,0.29702720,0,0.00000000,0.00000000,nan,0.00000000,0,2399,0,36.18075180,0.10201577,25.02507019
7700,0.41345376,0.41345376,0,0.00000000,0.00000000,nan,0.00000000,0,2299,0,16.31379509,0.05188200,23.88447189
7800,0.44401664,0.44401664,0,0.00000000,0.00000000,nan,0.00000000,0,2199,0,25.62628555,0.07781515,24.15476561
7900,0.28350547,0.28350547,0,0.00000000,0.00000000,nan,0.00000000,0,2099,0,22.44844055,0.05496943,23.25735219
8000,2.97220540,2.97220540,0,0.00000000,0.00000000,nan,0.00000000,0,1999,0,1.17323184,0.00268285,44.28036118
8100,0.52763432,0.52763432,0,0.00000000,0.00000000,nan,0.00000000,0,1899,0,15.46892929,0.07704046,24.32890129
8200,0.44229636,0.44229636,0,0.00000000,0.00000000,nan,0.00000000,0,1799,0,41.05279541,0.12975143,25.61102152
8300,0.56152320,0.56152320,0,0.00000000,0.00000000,nan,0.00000000,0,1699,0,26.48025513,0.04283600,26.12533522
8400,0.33306831,0.33306831,0,0.00000000,0.00000000,nan,0.00000000,0,1599,0,44.10515976,0.14567161,25.09551875
8500,1.09431183,1.09431183,0,0.00000000,0.00000000,nan,0.00000000,0,1499,0,18.78104210,0.08286674,30.14527273
8600,0.28481486,0.28481486,0,0.00000000,0.00000000,nan,0.00000000,0,1399,0,35.91975403,0.12542853,22.78166771
8700,0.20311239,0.20311239,0,0.00000000,0.00000000,nan,0.00000000,0,1299,0,19.15595627,0.06430873,20.61467743
8800,0.94531918,0.94531918,0,0.00000000,0.00000000,nan,0.00000000,0,1199,0,4.80528593,0.02301475,26.30969858
8900,0.37329498,0.37329498,0,0.00000000,0.00000000,nan,0.00000000,0,1099,0,42.48728561,0.13071208,24.27289772
9000,6.51153803,6.51153803,0,0.00000000,0.00000000,nan,0.00000000,0,999,0,1.13181472,0.00246326,nan
9100,0.89762813,0.89762813,0,0.00000000,0.00000000,nan,0.00000000,0,899,0,3.71297073,0.04485629,26.22629261
9200,0.98754734,0.98754734,0,0.00000000,0.00000000,nan,0.00000000,0,799,0,24.11518097,0.11965767,30.96920013
9300,0.57422626,0.57422626,0,0.00000000,0.00000000,nan,0.00000000,0,699,0,30.18095589,0.08965301,26.29983012
9400,1.04381895,1.04381895,0,0.00000000,0.00000000,nan,0.00000000,0,599,0,5.72457552,0.02972072,29.19325002
9500,0.34866413,0.34866413,0,0.00000000,0.00000000,nan,0.00000000,0,499,0,18.96075439,0.06444341,22.23719931
9600,0.85175806,0.85175806,0,0.00000000,0.00000000,nan,0.00000000,0,399,0,13.33653164,0.04599867,27.05363655
9700,0.18531193,0.18531193,0,0.00000000,0.00000000,nan,0.00000000,0,299,0,40.52623749,0.09736191,22.45563316
9800,0.47091621,0.47091621,0,0.00000000,0.00000000,nan,0.00000000,0,199,0,37.02546692,0.09668278,22.52519941
9900,1.01653504,1.01653504,0,0.00000000,0.00000000,nan,0.00000000,0,99,0,11.42777538,0.05560466,27.28523318
10000,3.11076880,3.11076880,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,1.09142244,0.00207947,44.48203532
10100,0.43043825,0.43043825,0,0.00000000,0.00000000,nan,0.00000000,0,0,0,48.79277039,0.12961872,22.43919945
10200,0.25134638,0.25134638,2,0.18126925,0.00027137,nan,0.00000000,0,0,0,28.78221321,0.06970806,20.34476598
10300,0.98096192,0.98096192,1,0.09516258,0.00008045,nan,0.00000000,0,0,0,39.34952927,0.16512053,28.42450047
10400,0.36283353,0.36283353,3,0.25918178,0.00163729,nan,0.00000000,0,0,0,34.20997238,0.07819048,22.49001630
10500,0.41361019,0.41361019,1,0.09516258,0.00003392,nan,0.00000000,0,0,0,37.10500717,0.14349818,22.16123962
10600,0.36787641,0.36787641,3,0.25918178,0.00166004,nan,0.00000000,0,0,0,36.87232590,0.10478695,24.20800845
10700,0.45777565,0.45777565,9,0.59343034,0.05677167,nan,0.00000000,0,0,0,20.92645645,0.06224861,22.80211258
10800,0.39698547,0.39698547,13,0.72746821,0.11118103,nan,0.00000000,0,0,0,28.78995132,0.05512676,22.73438168
10900,0.44891903,0.44891903,3,0.25918178,0.00202575,nan,0.00000000,0,0,0,23.81497574,0.06568827,23.24478951
11000,4.07350683,4.07350683,8,0.55067104,0.37457379,nan,0.00000000,0,0,0,1.11945653,0.00279855,53.21389771
11100,0.19362307,0.19362307,14,0.75340304,0.06238304,nan,0.00000000,0,0,0,38.61595917,0.14610192,21.42103672
11200,0.66516089,0.66516089,8,0.55067104,0.06116397,nan,0.00000000,0,0,0,49.81983948,0.20410067,33.95428181
11300,0.64313334,0.64313334,11,0.66712892,0.12739139,nan,0.00000000,0,0,0,17.26543236,0.08843482,24.17448902
11400,0.20512481,0.20512481,26,0.92572642,0.15064296,nan,0.00000000,0,0,0,25.69238663,0.05964474,19.54801814
11500,0.29396519,0.29396519,14,0.75340304,0.09471208,nan,0.00000000,0,0,0,17.71695137,0.08109120,19.93004656
11600,0.22567044,0.22567044,2,0.18126925,0.00024365,nan,0.00000000,0,0,0,25.96582794,0.07775226,20.10530472
11700,0.28448081,0.28448081,23,0.89974116,0.18643323,nan,0.00000000,0,0,0,12.50414848,0.04403849,19.06202602
11800,0.51732612,0.51732612,23,0.89974116,0.33902736,nan,0.00000000,0,0,0,10.37818336,0.04358677,22.01683489
