step,surprise_raw,surprise_clipped,state_action_pseudo_count,familiarity,e_t,block_E_k,W_k,block_completed,warmup_remaining,regime_change,mean_total_var,mean_epistemic_var,predictor_nll
0,11.80775547,11.80775547,0,0.00000000,0.00000000,nan,0.00000000,0,9999,0,1.00340152,0.00454257,123.36209106
100,12.52485657,12.52485657,0,0.00000000,0.00000000,nan,0.00000000,0,9899,0,1.16699350,0.12996988,162.55502930
200,7.86327267,7.86327267,0,0.00000000,0.00000000,nan,0.00000000,0,9799,0,1.50274849,0.29171023,152.53230667
300,5.31957293,5.31957293,0,0.00000000,0.00000000,nan,0.00000000,0,9699,0,1.45589507,0.14117172,83.35008335
400,5.25847769,5.25847769,0,0.00000000,0.00000000,nan,0.00000000,0,9599,0,2.17039204,0.30402189,108.15757751
500,2.62924933,2.62924933,0,0.00000000,0.00000000,nan,0.00000000,0,9499,0,2.17766047,0.29600781,56.84447098
600,3.31926250,3.31926250,0,0.00000000,0.00000000,nan,0.00000000,0,9399,0,3.32413960,0.43571341,86.68515396
700,0.35795438,0.35795438,0,0.00000000,0.00000000,nan,0.00000000,0,9299,0,3.32970881,0.37225169,31.09169483
800,0.37678742,0.37678742,0,0.00000000,0.00000000,nan,0.00000000,0,9199,0,1.74776983,0.12201708,23.25227451
900,1.34997857,1.34997857,0,0.00000000,0.00000000,nan,0.00000000,0,9099,0,3.21561003,0.17655055,36.14203453
1000,4.60872841,4.60872841,0,0.00000000,0.00000000,nan,0.00000000,0,8999,0,1.05605102,0.00341015,58.80957413
1100,3.13737059,3.13737059,0,0.00000000,0.00000000,nan,0.00000000,0,8899,0,1.19790113,0.01864675,44.97013601
1200,2.55203295,2.55203295,0,0.00000000,0.00000000,nan,0.00000000,0,8799,0,6.37592030,0.22829477,49.22831631
1300,2.14872670,2.14872670,0,0.00000000,0.00000000,nan,0.00000000,0,8699,0,2.46220541,0.12659186,49.16383457
1400,3.05253887,3.05253887,0,0.00000000,0.00000000,nan,0.00000000,0,8599,0,2.36375141,0.11403821,45.54220963
1500,1.20035315,1.20035315,0,0.00000000,0.00000000,nan,0.00000000,0,8499,0,4.43731117,0.16541344,35.09246674
1600,2.58668232,2.58668232,0,0.00000000,0.00000000,nan,0.00000000,0,8399,0,2.37577677,0.09713414,49.58512497
1700,0.88195091,0.88195091,0,0.00000000,0.00000000,nan,0.00000000,0,8299,0,7.70678139,0.33255109,32.40776761
1800,0.47885662,0.47885662,0,0.00000000,0.00000000,nan,0.00000000,0,8199,0,14.38513184,0.39095730,32.93727646
